service_name,name
"ASP.NET State Service","aspnet_state"
"AVCTP service","BthAvctpSvc"
"Active Directory Domain Services","NTDS"
"Active Directory Web Services","ADWS"
"ActiveX Installer (AxInstSV)","AxInstSV"
"AggregationService","AggregationService"
"AllJoyn Router Service","AJRouter"
"App Readiness","AppReadiness"
"AppDynamics.Agent.Coordinator","AppDynamics.Agent.Coordinator_service"
"AppX Deployment Service (AppXSVC)","AppXSvc"
"Application Experience","AeLookupSvc"
"Application Host Helper Service","AppHostSvc"
"Application Identity","AppIDSvc"
"Application Information","Appinfo"
"Application Layer Gateway Service","ALG"
"Application Management","AppMgmt"
"Auto Time Zone Updater","tzautoupdate"
"Azure Backup Workload Coordinator Service","AzureWLBackupCoordinatorSvc"
"Azure Backup Workload Inquiry Service","AzureWLBackupInquirySvc"
"Azure Backup Workload Plugin Service","AzureWLBackupPluginSvc"
"Azure DevOps Server Background Job Agent","TFSJobAgent"
"Azure DevOps Ssh Service","TeamFoundationSshService"
"Azure Network Watcher Agent","AzureNetworkWatcherAgent"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_01)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_01"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_02)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_02"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_03)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_03"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_04)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_04"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_05)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_05"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_06)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_06"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_07)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_07"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_08)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_08"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_09)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_09"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_10)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_10"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_11)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_11"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_12)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_12"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_13)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_13"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_14)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_14"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_15)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_15"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_16)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_16"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_17)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_17"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_18)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_18"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_19)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_19"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_20)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_20"
"Azure Site Recovery VSS Provider","Azure Site Recovery VSS Provider"
"AzureAttestService","AzureAttestService"
"Background Intelligent Transfer Service","BITS"
"Background Tasks Infrastructure Service","BrokerInfrastructure"
"Base Filtering Engine","BFE"
"BitLocker Drive Encryption Service","BDESVC"
"Bluetooth Audio Gateway Service","BTAGService"
"Bluetooth Support Service","bthserv"
"CNG Key Isolation","KeyIso"
"COM+ Event System","EventSystem"
"COM+ System Application","COMSysApp"
"CPrepSrv","CPrepSrv"
"Capability Access Manager Service","camsvc"
"Certificate Propagation","CertPropSvc"
"Cisco AD Connector","OpenDNS Active Directory Service"
"Claims to Windows Token Service","c2wts"
"Client License Service (ClipSVC)","ClipSVC"
"Cluster Service","ClusSvc"
"Computer Browser","Browser"
"ConfigMgr Task Sequence Agent","smstsmgr"
"Configuration Manager Remote Control","CmRcService"
"Connected Devices Platform Service","CDPSvc"
"Connected User Experiences and Telemetry","DiagTrack"
"CoreMessaging","CoreMessagingRegistrar"
"Credential Manager","VaultSvc"
"Cryptographic Services","CryptSvc"
"DCOM Server Process Launcher","DcomLaunch"
"DFS Namespace","Dfs"
"DFS Replication","DFSR"
"DHCP Client","Dhcp"
"DHCP Server","DHCPServer"
"DNS Client","Dnscache"
"DS Role Server","DsRoleSvc"
"Data Sharing Service","DsSvc"
"DataCollectionPublishingService","DcpSvc"
"Debug Diagnostic Service","DbgSvc"
"Delivery Optimization","DoSvc"
"Dell EMC vProxy Agent","vflragentd"
"DevQuery Background Discovery Broker","DevQueryBroker"
"Device Association Service","DeviceAssociationService"
"Device Install Service","DeviceInstall"
"Device Management Enrollment Service","DmEnrollmentSvc"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice"
"Device Setup Manager","DsmSvc"
"Diagnostic Policy Service","DPS"
"Diagnostic Service Host","WdiServiceHost"
"Diagnostic System Host","WdiSystemHost"
"Diagnostics Tracking Service","DiagTrack"
"Distributed Link Tracking Client","TrkWks"
"Distributed Transaction Coordinator","MSDTC"
"Docker Engine","docker"
"Downloaded Maps Manager","MapsBroker"
"Dynatrace OneAgent","Dynatrace OneAgent"
"EFT Server","EFT Server"
"EMC PowerPath Migration Service 6.2.0","EmcPowMig"
"EMC PowerPath Remote Management component","EmcpMgmtComp"
"EMC PowerPath Service 6.2.0","EmcPowSrv"
"Elasticsearch 6.2.4 (elasticsearch-service-x64)","elasticsearch-service-x64"
"Elasticsearch 7.16.3 (WhatsUp)","WhatsUp"
"Embedded Mode","embeddedmode"
"Encrypting File System (EFS)","EFS"
"Enterprise App Management Service","EntAppSvc"
"Extensible Authentication Protocol","EapHost"
"Extensible Authentication Protocol","Eaphost"
"FcSrv","FcSrv"
"File Replication","NtFrs"
"File Server Resource Manager","SrmSvc"
"File Server Storage Reports Manager","SrmReports"
"ForeScout Remote Inspection Service","fsprocsvc"
"ForeScout SecureConnector Service","SecureConnector"
"Function Discovery Provider Host","fdPHost"
"Function Discovery Resource Publication","FDResPub"
"GISvc","GISvc"
"Geolocation Service","lfsvc"
"Google Chrome Elevation Service (GoogleChromeElevationService)","GoogleChromeElevationService"
"Google Update Service (gupdate)","gupdate"
"Google Update Service (gupdatem)","gupdatem"
"Google Updater Internal Service (GoogleUpdaterInternalService132.0.6833.0)","GoogleUpdaterInternalService132.0.6833.0"
"Google Updater Service (GoogleUpdaterService132.0.6833.0)","GoogleUpdaterService132.0.6833.0"
"GraphicsPerfSvc","GraphicsPerfSvc"
"Group Policy Client","gpsvc"
"HV Host Service","HvHost"
"Health Key and Certificate Management","hkmsvc"
"Host Guardian Client Service","HgClientService"
"Host Network Service","hns"
"Human Interface Device Service","hidserv"
"Hyper-V Data Exchange Service","vmickvpexchange"
"Hyper-V Guest Service Interface","vmicguestinterface"
"Hyper-V Guest Shutdown Service","vmicshutdown"
"Hyper-V Heartbeat Service","vmicheartbeat"
"Hyper-V Host Compute Service","vmcompute"
"Hyper-V PowerShell Direct Service","vmicvmsession"
"Hyper-V Remote Desktop Virtualization Service","vmicrdv"
"Hyper-V Time Synchronization Service","vmictimesync"
"Hyper-V Virtual Machine Management","vmms"
"Hyper-V Volume Shadow Copy Requestor","vmicvss"
"IIS Admin Service","IISADMIN"
"IKE and AuthIP IPsec Keying Modules","IKEEXT"
"IP Helper","iphlpsvc"
"IPsec Policy Agent","PolicyAgent"
"IaasVmProvider","IaasVmProvider"
"Idera - Collector smgd_svc_sqldm_admin","idera_swa_deploy_smgd_svc_sqldm_admin"
"Idera - Framework","idera_swa_tomcat"
"Idera - PMDB","idera_swa_postgresql"
"Idera Dashboard Core Service","IderaDashboardCoreService"
"Idera Dashboard Web Application Service","IderaDashboardWebAppService"
"InMage Scout Application Service","InMage Scout Application Service"
"InMage Scout FX Agent","frsvc"
"InMage Scout VX Agent - Sentinel/Outpost","svagents"
"Interactive Services Detection","UI0Detect"
"Internet Connection Sharing (ICS)","SharedAccess"
"Internet Explorer ETW Collector Service","IEEtwCollectorService"
"Intersite Messaging","IsmServ"
"Intune ODJConnector Service","ODJConnectorSvc"
"Ipswitch Service Control Manager","Ipswitch Service Control Manager"
"Ipswitch TFTP Server","TFTPService"
"KDC Proxy Server service (KPS)","KPSSVC"
"Kerberos Key Distribution Center","Kdc"
"KtmRm for Distributed Transaction Coordinator","KtmRm"
"Link-Layer Topology Discovery Mapper","lltdsvc"
"Local Session Manager","LSM"
"Log Collector Service","Log Collector Service"
"Log Management Collector Service","Log Management Collector Service"
"Logstash - F5 LTM AFM Listener","LS_F5_LTM_AFM"
"Logstash - F5 LTM ASM Listener","LS_F5_LTM_ASM"
"Logstash - F5 LTM Bot Defense Listener","LS_F5_LTM_BOTDEF"
"Logstash - F5 LTM Syslog Listener","LS_F5_LTM_Syslog"
