host,service
#"ch-addc01-p.servicemanagement.com:9182","Server Service"
#"ch-addc01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
#"ch-addc01-p.servicemanagement.com:9182","Workstation Service"
#"ch-addc01-p.servicemanagement.com:9182","Active Directory Web Services"
#"ch-addc01-p.servicemanagement.com:9182","DFS Replication Service"
#"ch-addc01-p.servicemanagement.com:9182","Kerberos KDC Service"
#"ch-addc01-p.servicemanagement.com:9182","Netlogon Service"
#"ch-addc01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
#"ch-addc01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
#"ch-addc01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
#"ch-addc01-p.servicemanagement.com:9182","Active Directory Domain Services"
#"ch-addc01-p.servicemanagement.com:9182","DNS Server Service"
"CH-API-ACT01-P:9182","Server Service"
"CH-API-ACT01-P:9182","Symantec Endpoint Protection Service"
"CH-API-ACT01-P:9182","Workstation Service"
"CH-API-ACT01-P:9182","Quest KACE One Agent Service"
"CH-API-ACT01-P:9182","Quest KACE Offline Scheduler Service"
"CH-API-ACT01-P:9182","Quest KACE Agent WatchDog Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Server Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Workstation Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-ACT01-S.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Server Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Workstation Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-ACT01-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-ACT02-P:9182","Server Service"
"CH-API-ACT02-P:9182","Symantec Endpoint Protection Service"
"CH-API-ACT02-P:9182","Workstation Service"
"CH-API-ACT02-P:9182","Quest KACE One Agent Service"
"CH-API-ACT02-P:9182","Quest KACE Offline Scheduler Service"
"CH-API-ACT02-P:9182","Quest KACE Agent WatchDog Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Server Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Workstation Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-ACT02-S.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Server Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Workstation Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-KNTR01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Server Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Workstation Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-KNTR01-S.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Server Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Workstation Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-KNTR01-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Server Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Workstation Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-API-KNTR02-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-API-KNTR02-S.servicemanagement.com:9182","Server Service"
